Well No.,Gas production (m3/d),Wellbore pressure (MPa),Wellhead pressure (MPa),Wellbore temperature (°C),Wellhead temperature (°C),Tubing inner diameter (mm),Well depth (m),Loading status
1,118000,39.6,27.2,133.5,52.5,,4900,Unloaded
2,81000,35.4,23,137.1,41.9,,5000,Unloaded
3,149000,36.4,24.6,134.9,64.4,,5000,Unloaded
4,76800,28.1,16.4,127.7,32.6,,5100,Unloaded
5,80000,33.7,22.4,135.8,35.7,,5000,Unloaded
6,110100,43.6,23.6,133.5,62.6,,5000,Unloaded
7,17685,32.5,17,136.4,28.1,,4600,Unloaded
8,44541,30.8,18.5,139.2,31.4,,4500,Unloaded
9,45600,37.3,21.8,140,39.2,,5000,Unloaded
10,50034,38.3,24.8,132.3,37.8,,4350,Unloaded
11,34902,33.8,20.3,132.5,37.1,,4500,Near Load Up
12,19175,16.1,3,131.9,22.2,,4600,Near Load Up
13,14706,30.1,8.7,137.8,27,,4700,Loaded Up
14,19701,21.9,7.9,135.8,25.4,,4700,Loaded Up
15,16251,30.2,8.2,132.6,32.1,,4500,Loaded Up
16,17667,35.9,18.7,136.4,28.5,,4500,Loaded Up
17,17481,30.3,15,135.8,30.3,,4500,Loaded Up
18,19600,27.3,6.6,141.5,31.9,,5100,Loaded Up
