Well No.,Gas production (m3/d),Wellbore pressure (MPa),Wellhead pressure (MPa),Tubing inner diameter (mm),Well depth (m),Loading status
1,31500,12.2,11.7,62,,Unloaded
2,15800,2.61,1.59,75.9,,Unloaded
3,20500,19.8,19.4,62,,Unloaded
4,14500,17.4,16.4,62,,Unloaded
5,5100,11.6,9,62,,Unloaded
6,42700,11.1,9,62,,Unloaded
7,40300,8.4,8,62,,Unloaded
8,40900,7.8,6.8,75.9,,Unloaded
9,8800,3.7,1.73,62,,Unloaded
10,17200,12.4,10.1,88.9,,Unloaded
11,19300,12.4,10.4,88.9,,Unloaded
12,4000,5.04,3.7,62,,Unloaded
13,1500,7.65,2.54,88.9,,Unloaded
14,5100,5.04,1.81,88.9,,Unloaded
15,31300,240,18.1,62,,Loaded Up
16,7600,5.73,2.57,75.9,,Loaded Up
17,1200,5.13,3.54,88.9,,Loaded Up
18,14500,20.3,12,75.9,,Loaded Up
19,14500,19.9,12.6,75.9,,Loaded Up
20,5300,19.7,11.9,62,,Loaded Up
21,9400,11,1.57,88.9,,Loaded Up
22,2000,10,7.1,62,,Loaded Up
23,11300,9.2,9.3,62,,Loaded Up
24,16500,17.4,9.6,62,,Loaded Up
25,16500,17.4,9.3,62,,Loaded Up
26,11300,19.9,12.5,88.9,,Loaded Up
27,19400,18.9,14.5,88.9,,Loaded Up
28,5300,17.5,14.4,75.9,,Loaded Up
29,17300,17.2,14.5,75.9,,Loaded Up
30,16600,7.3,5.6,75.9,,Loaded Up
31,9400,17.6,13,75.9,,Loaded Up
32,9400,17.6,13,88.9,,Loaded Up
33,9000,17.6,13.1,88.9,,Loaded Up
34,9300,17.6,14,88.9,,Loaded Up
35,16500,17.5,13.7,88.9,,Loaded Up
36,8300,17.2,16.3,88.9,,Loaded Up
37,7100,18.4,13.9,75.9,,Loaded Up
38,2100,19.2,16.8,88.9,,Loaded Up
